,createdDate,y_x,y_y
347,2024-06-09 11:00:00,690,295
348,2024-06-09 12:00:00,774,317
349,2024-06-09 13:00:00,836,364
350,2024-06-09 14:00:00,739,309
351,2024-06-09 15:00:00,724,278
352,2024-06-09 16:00:00,844,311
353,2024-06-09 17:00:00,953,313
354,2024-06-09 18:00:00,1290,282
355,2024-06-09 19:00:00,1476,270
356,2024-06-09 20:00:00,1232,223
357,2024-06-09 21:00:00,939,184
358,2024-06-09 22:00:00,639,136
359,2024-06-09 23:00:00,339,76
360,2024-06-10 00:00:00,138,28
361,2024-06-10 01:00:00,62,16
362,2024-06-10 02:00:00,51,11
363,2024-06-10 03:00:00,37,5
364,2024-06-10 04:00:00,109,21
365,2024-06-10 05:00:00,136,29
366,2024-06-10 06:00:00,139,35
367,2024-06-10 07:00:00,199,66
368,2024-06-10 08:00:00,658,171
369,2024-06-10 09:00:00,1408,266
370,2024-06-10 10:00:00,1514,298
371,2024-06-10 11:00:00,1262,309
372,2024-06-10 12:00:00,965,305
373,2024-06-10 13:00:00,818,309
374,2024-06-10 14:00:00,742,288
375,2024-06-10 15:00:00,680,259
376,2024-06-10 16:00:00,636,236
377,2024-06-10 17:00:00,877,269
378,2024-06-10 18:00:00,1073,255
379,2024-06-10 19:00:00,1113,214
380,2024-06-10 20:00:00,706,187
381,2024-06-10 21:00:00,435,153
382,2024-06-10 22:00:00,252,105
383,2024-06-10 23:00:00,117,40
384,2024-06-11 00:00:00,52,16
385,2024-06-11 01:00:00,29,11
386,2024-06-11 02:00:00,21,3
387,2024-06-11 03:00:00,14,4
388,2024-06-11 04:00:00,58,15
389,2024-06-11 05:00:00,85,25
390,2024-06-11 06:00:00,90,41
391,2024-06-11 07:00:00,123,59
392,2024-06-11 08:00:00,485,192
393,2024-06-11 09:00:00,1158,301
394,2024-06-11 10:00:00,1229,311
395,2024-06-11 11:00:00,1038,334
396,2024-06-11 12:00:00,662,267
397,2024-06-11 13:00:00,576,271
398,2024-06-11 14:00:00,497,256
399,2024-06-11 15:00:00,488,253
400,2024-06-11 16:00:00,657,286
401,2024-06-11 17:00:00,739,300
402,2024-06-11 18:00:00,942,274
403,2024-06-11 19:00:00,1010,216
404,2024-06-11 20:00:00,662,223
405,2024-06-11 21:00:00,446,178
406,2024-06-11 22:00:00,244,108
407,2024-06-11 23:00:00,165,74
408,2024-06-12 00:00:00,68,27
409,2024-06-12 01:00:00,28,8
410,2024-06-12 02:00:00,33,11
411,2024-06-12 03:00:00,16,3
412,2024-06-12 04:00:00,63,20
413,2024-06-12 05:00:00,83,23
414,2024-06-12 06:00:00,69,28
415,2024-06-12 07:00:00,120,60
416,2024-06-12 08:00:00,414,144
417,2024-06-12 09:00:00,1079,265
418,2024-06-12 10:00:00,1163,297
419,2024-06-12 11:00:00,1161,325
420,2024-06-12 12:00:00,742,284
421,2024-06-12 13:00:00,588,275
422,2024-06-12 14:00:00,547,275
423,2024-06-12 15:00:00,513,273
424,2024-06-12 16:00:00,607,294
425,2024-06-12 17:00:00,774,308
426,2024-06-12 18:00:00,949,297
427,2024-06-12 19:00:00,1136,288
428,2024-06-12 20:00:00,858,232
429,2024-06-12 21:00:00,677,198
430,2024-06-12 22:00:00,449,133
431,2024-06-12 23:00:00,206,70
432,2024-06-13 00:00:00,63,19
433,2024-06-13 01:00:00,48,14
434,2024-06-13 02:00:00,33,6
435,2024-06-13 03:00:00,30,6
436,2024-06-13 04:00:00,50,9
437,2024-06-13 05:00:00,66,14
438,2024-06-13 06:00:00,85,37
439,2024-06-13 07:00:00,148,59
440,2024-06-13 08:00:00,497,192
441,2024-06-13 09:00:00,1061,287
442,2024-06-13 10:00:00,1096,317
443,2024-06-13 11:00:00,942,317
444,2024-06-13 12:00:00,617,268
445,2024-06-13 13:00:00,581,277
446,2024-06-13 14:00:00,507,271
447,2024-06-13 15:00:00,524,260
448,2024-06-13 16:00:00,620,303
449,2024-06-13 17:00:00,778,314
450,2024-06-13 18:00:00,1023,330
451,2024-06-13 19:00:00,1125,270
452,2024-06-13 20:00:00,828,233
453,2024-06-13 21:00:00,501,184
454,2024-06-13 22:00:00,260,125
455,2024-06-13 23:00:00,213,83
456,2024-06-14 00:00:00,78,26
457,2024-06-14 01:00:00,31,5
458,2024-06-14 02:00:00,23,2
459,2024-06-14 03:00:00,18,3
460,2024-06-14 04:00:00,65,19
461,2024-06-14 05:00:00,47,17
462,2024-06-14 06:00:00,73,35
463,2024-06-14 07:00:00,177,78
464,2024-06-14 08:00:00,438,189
465,2024-06-14 09:00:00,1074,341
466,2024-06-14 10:00:00,1083,334
467,2024-06-14 11:00:00,984,320
468,2024-06-14 12:00:00,847,303
469,2024-06-14 13:00:00,846,327
470,2024-06-14 14:00:00,675,323
471,2024-06-14 15:00:00,700,289
472,2024-06-14 16:00:00,958,325
473,2024-06-14 17:00:00,1147,314
474,2024-06-14 18:00:00,1425,284
475,2024-06-14 19:00:00,1513,271
476,2024-06-14 20:00:00,1120,223
477,2024-06-14 21:00:00,863,194
478,2024-06-14 22:00:00,434,142
479,2024-06-14 23:00:00,283,73
480,2024-06-15 00:00:00,104,27
481,2024-06-15 01:00:00,69,14
482,2024-06-15 02:00:00,48,7
483,2024-06-15 03:00:00,54,9
484,2024-06-15 04:00:00,111,23
485,2024-06-15 05:00:00,198,22
486,2024-06-15 06:00:00,121,45
487,2024-06-15 07:00:00,146,77
488,2024-06-15 08:00:00,299,152
489,2024-06-15 09:00:00,580,246
490,2024-06-15 10:00:00,716,324
491,2024-06-15 11:00:00,945,407
492,2024-06-15 12:00:00,1068,383
493,2024-06-15 13:00:00,966,385
494,2024-06-15 14:00:00,824,358
495,2024-06-15 15:00:00,947,340
496,2024-06-15 16:00:00,948,304
497,2024-06-15 17:00:00,1242,324
498,2024-06-15 18:00:00,1302,321
499,2024-06-15 19:00:00,1538,287
500,2024-06-15 20:00:00,1231,268
501,2024-06-15 21:00:00,959,230
502,2024-06-15 22:00:00,538,152
503,2024-06-15 23:00:00,236,91
504,2024-06-16 00:00:00,118,46
505,2024-06-16 01:00:00,47,16
506,2024-06-16 02:00:00,87,11
507,2024-06-16 03:00:00,49,17
508,2024-06-16 04:00:00,77,17
509,2024-06-16 05:00:00,119,28
510,2024-06-16 06:00:00,100,31
511,2024-06-16 07:00:00,161,88
512,2024-06-16 08:00:00,186,114
513,2024-06-16 09:00:00,299,168
514,2024-06-16 10:00:00,363,216
515,2024-06-16 11:00:00,526,330
516,2024-06-16 12:00:00,615,312
517,2024-06-16 13:00:00,534,318
518,2024-06-16 14:00:00,431,252
519,2024-06-16 15:00:00,542,291
520,2024-06-16 16:00:00,607,328
521,2024-06-16 17:00:00,778,339
522,2024-06-16 18:00:00,940,347
523,2024-06-16 19:00:00,1154,299
524,2024-06-16 20:00:00,1094,283
525,2024-06-16 21:00:00,1011,239
526,2024-06-16 22:00:00,753,166
527,2024-06-16 23:00:00,358,95
528,2024-06-17 00:00:00,96,31
529,2024-06-17 01:00:00,36,10
530,2024-06-17 02:00:00,26,6
531,2024-06-17 03:00:00,63,9
532,2024-06-17 04:00:00,75,18
533,2024-06-17 05:00:00,111,21
534,2024-06-17 06:00:00,112,36
535,2024-06-17 07:00:00,170,49
536,2024-06-17 08:00:00,342,118
537,2024-06-17 09:00:00,825,208
538,2024-06-17 10:00:00,763,249
539,2024-06-17 11:00:00,746,233
540,2024-06-17 12:00:00,496,212
541,2024-06-17 13:00:00,510,243
542,2024-06-17 14:00:00,452,185
543,2024-06-17 15:00:00,451,191
544,2024-06-17 16:00:00,621,245
545,2024-06-17 17:00:00,771,245
546,2024-06-17 18:00:00,1035,257
547,2024-06-17 19:00:00,1185,234
548,2024-06-17 20:00:00,930,199
549,2024-06-17 21:00:00,761,168
550,2024-06-17 22:00:00,337,88
551,2024-06-17 23:00:00,166,56
552,2024-06-18 00:00:00,105,27
553,2024-06-18 01:00:00,57,11
554,2024-06-18 02:00:00,71,4
555,2024-06-18 03:00:00,35,4
556,2024-06-18 04:00:00,74,15
557,2024-06-18 05:00:00,100,31
558,2024-06-18 06:00:00,112,40
559,2024-06-18 07:00:00,252,80
560,2024-06-18 08:00:00,599,172
561,2024-06-18 09:00:00,1214,260
562,2024-06-18 10:00:00,1144,325
563,2024-06-18 11:00:00,922,290
564,2024-06-18 12:00:00,673,273
565,2024-06-18 13:00:00,491,191
566,2024-06-18 14:00:00,698,270
567,2024-06-18 15:00:00,618,231
568,2024-06-18 16:00:00,639,210
569,2024-06-18 17:00:00,888,290
570,2024-06-18 18:00:00,1295,289
571,2024-06-18 19:00:00,1269,230
572,2024-06-18 20:00:00,754,199
573,2024-06-18 21:00:00,501,165
574,2024-06-18 22:00:00,290,118
575,2024-06-18 23:00:00,178,76
576,2024-06-19 00:00:00,74,33
577,2024-06-19 01:00:00,31,9
578,2024-06-19 02:00:00,31,10
579,2024-06-19 03:00:00,26,12
580,2024-06-19 04:00:00,48,19
581,2024-06-19 05:00:00,73,25
582,2024-06-19 06:00:00,88,30
583,2024-06-19 07:00:00,170,86
584,2024-06-19 08:00:00,480,172
585,2024-06-19 09:00:00,1067,284
586,2024-06-19 10:00:00,1116,331
587,2024-06-19 11:00:00,1090,317
588,2024-06-19 12:00:00,689,243
589,2024-06-19 13:00:00,679,257
590,2024-06-19 14:00:00,559,244
591,2024-06-19 15:00:00,551,223
592,2024-06-19 16:00:00,680,283
593,2024-06-19 17:00:00,799,288
594,2024-06-19 18:00:00,1051,279
595,2024-06-19 19:00:00,1120,254
596,2024-06-19 20:00:00,822,218
597,2024-06-19 21:00:00,509,176
598,2024-06-19 22:00:00,299,113
599,2024-06-19 23:00:00,231,90
600,2024-06-20 00:00:00,67,18
601,2024-06-20 01:00:00,36,14
602,2024-06-20 02:00:00,35,9
603,2024-06-20 03:00:00,20,6
604,2024-06-20 04:00:00,52,17
605,2024-06-20 05:00:00,96,24
606,2024-06-20 06:00:00,94,33
607,2024-06-20 07:00:00,171,69
608,2024-06-20 08:00:00,505,195
609,2024-06-20 09:00:00,838,291
610,2024-06-20 10:00:00,963,325
611,2024-06-20 11:00:00,947,327
612,2024-06-20 12:00:00,549,252
613,2024-06-20 13:00:00,700,262
614,2024-06-20 14:00:00,605,242
615,2024-06-20 15:00:00,551,275
616,2024-06-20 16:00:00,815,315
617,2024-06-20 17:00:00,1424,345
618,2024-06-20 18:00:00,2099,310
619,2024-06-20 19:00:00,1898,230
620,2024-06-20 20:00:00,1087,234
621,2024-06-20 21:00:00,511,184
622,2024-06-20 22:00:00,257,129
623,2024-06-20 23:00:00,163,79
624,2024-06-21 00:00:00,79,31
625,2024-06-21 01:00:00,54,13
626,2024-06-21 02:00:00,18,3
627,2024-06-21 03:00:00,20,4
628,2024-06-21 04:00:00,48,19
629,2024-06-21 05:00:00,46,16
630,2024-06-21 06:00:00,84,34
631,2024-06-21 07:00:00,185,73
632,2024-06-21 08:00:00,452,168
633,2024-06-21 09:00:00,891,260
634,2024-06-21 10:00:00,839,283
635,2024-06-21 11:00:00,797,301
636,2024-06-21 12:00:00,571,259
637,2024-06-21 13:00:00,559,253
638,2024-06-21 14:00:00,557,274
639,2024-06-21 15:00:00,591,278
640,2024-06-21 16:00:00,662,303
641,2024-06-21 17:00:00,844,332
642,2024-06-21 18:00:00,1440,289
643,2024-06-21 19:00:00,1811,268
644,2024-06-21 20:00:00,1166,223
645,2024-06-21 21:00:00,710,182
646,2024-06-21 22:00:00,439,154
647,2024-06-21 23:00:00,205,88
648,2024-06-22 00:00:00,120,67
649,2024-06-22 01:00:00,85,26
650,2024-06-22 02:00:00,17,3
651,2024-06-22 03:00:00,29,5
652,2024-06-22 04:00:00,83,17
653,2024-06-22 05:00:00,143,36
654,2024-06-22 06:00:00,74,32
655,2024-06-22 07:00:00,110,62
656,2024-06-22 08:00:00,235,115
657,2024-06-22 09:00:00,436,183
658,2024-06-22 10:00:00,793,312
659,2024-06-22 11:00:00,735,303
660,2024-06-22 12:00:00,715,308
661,2024-06-22 13:00:00,777,318
662,2024-06-22 14:00:00,735,324
663,2024-06-22 15:00:00,684,266
664,2024-06-22 16:00:00,677,285
665,2024-06-22 17:00:00,783,312
666,2024-06-22 18:00:00,965,309
667,2024-06-22 19:00:00,1189,273
668,2024-06-22 20:00:00,872,290
669,2024-06-22 21:00:00,626,252
670,2024-06-22 22:00:00,433,156
671,2024-06-22 23:00:00,244,106
672,2024-06-23 00:00:00,128,51
673,2024-06-23 01:00:00,63,25
674,2024-06-23 02:00:00,35,10
675,2024-06-23 03:00:00,27,10
676,2024-06-23 04:00:00,34,10
677,2024-06-23 05:00:00,57,16
678,2024-06-23 06:00:00,62,31
679,2024-06-23 07:00:00,106,55
680,2024-06-23 08:00:00,186,83
681,2024-06-23 09:00:00,187,104
682,2024-06-23 10:00:00,279,158
683,2024-06-23 11:00:00,435,245
684,2024-06-23 12:00:00,468,269
685,2024-06-23 13:00:00,529,305
686,2024-06-23 14:00:00,489,253
687,2024-06-23 15:00:00,470,237
688,2024-06-23 16:00:00,482,271
689,2024-06-23 17:00:00,579,297
690,2024-06-23 18:00:00,715,326
691,2024-06-23 19:00:00,837,325
692,2024-06-23 20:00:00,854,311
693,2024-06-23 21:00:00,819,216
694,2024-06-23 22:00:00,639,154
695,2024-06-23 23:00:00,272,108
696,2024-06-24 00:00:00,113,42
697,2024-06-24 01:00:00,48,16
698,2024-06-24 02:00:00,22,4
699,2024-06-24 03:00:00,33,11
700,2024-06-24 04:00:00,132,24
701,2024-06-24 05:00:00,113,24
702,2024-06-24 06:00:00,120,45
703,2024-06-24 07:00:00,203,72
704,2024-06-24 08:00:00,515,177
705,2024-06-24 09:00:00,1078,272
706,2024-06-24 10:00:00,1153,282
707,2024-06-24 11:00:00,853,293
708,2024-06-24 12:00:00,608,259
709,2024-06-24 13:00:00,573,273
710,2024-06-24 14:00:00,551,256
711,2024-06-24 15:00:00,529,229
712,2024-06-24 16:00:00,597,268
713,2024-06-24 17:00:00,642,284
714,2024-06-24 18:00:00,906,290
715,2024-06-24 19:00:00,993,247
716,2024-06-24 20:00:00,671,221
717,2024-06-24 21:00:00,459,203
718,2024-06-24 22:00:00,226,101
719,2024-06-24 23:00:00,95,46
720,2024-06-25 00:00:00,68,35
721,2024-06-25 01:00:00,26,6
722,2024-06-25 02:00:00,17,4
723,2024-06-25 03:00:00,17,6
724,2024-06-25 04:00:00,45,13
725,2024-06-25 05:00:00,60,22
726,2024-06-25 06:00:00,80,27
727,2024-06-25 07:00:00,159,57
728,2024-06-25 08:00:00,418,181
729,2024-06-25 09:00:00,767,267
730,2024-06-25 10:00:00,851,297
